Date,VALE3.SA,RECV3.SA,KEPL3.SA,CURY3.SA,VULC3.SA,LEVE3.SA,GGBR4.SA,LREN3.SA,ALSO3.SA,DIRR3.SA,MILS3.SA,RANI3.SA,CAMB3.SA,CSUD3.SA,CLSC4.SA,CMIG4.SA,ITSA4.SA,BBAS3.SA,TASA4.SA,SLCE3.SA,B3SA3.SA,PETR4.SA,SUZB3.SA,KLBN4.SA,BOVA11.SA
2022-01-17,84.25,19.079999923706055,5.735000133514404,6.699999809265137,8.130000114440918,30.65999984741211,26.342857360839844,23.489999771118164,19.450000762939453,10.850000381469727,5.630000114440918,6.119999885559082,4.650000095367432,12.3100004196167,64.69999694824219,9.800000190734863,8.67272663116455,30.469999313354492,21.979999542236328,40.727272033691406,12.359999656677246,31.5,62.029998779296875,4.690000057220459,102.58000183105469
2022-01-18,86.30999755859375,19.209999084472656,5.789999961853027,6.400000095367432,8.199999809265137,31.010000228881836,27.238094329833984,23.5,19.350000381469727,10.5,5.349999904632568,6.059999942779541,4.699999809265137,12.010000228881836,64.69999694824219,9.80769157409668,8.736363410949707,30.739999771118164,21.8700008392334,41.409088134765625,12.3100004196167,31.639999389648438,62.849998474121094,4.809999942779541,102.8499984741211
2022-01-19,88.20999908447266,20.84000015258789,5.920000076293945,6.809999942779541,8.420000076293945,31.06999969482422,27.657142639160156,24.850000381469727,19.950000762939453,11.15999984741211,5.570000171661377,6.199999809265137,4.610000133514404,12.649999618530273,65.0,9.969229698181152,8.745453834533691,31.010000228881836,21.670000076293945,42.60908889770508,12.260000228881836,31.489999771118164,61.849998474121094,4.929999828338623,104.05000305175781
2022-01-20,86.70999908447266,20.18000030517578,6.198332786560059,7.260000228881836,8.609999656677246,31.389999389648438,27.266666412353516,26.139999389648438,20.969999313354492,12.069999694824219,5.75,6.210000038146973,4.659999847412109,13.0600004196167,64.5,10.007692337036133,8.736363410949707,31.200000762939453,22.239999771118164,42.02727127075195,13.25,31.719999313354492,60.310001373291016,4.909999847412109,104.9000015258789
2022-01-21,84.91000366210938,20.18000030517578,5.921666145324707,7.760000228881836,8.819999694824219,30.6299991607666,26.152379989624023,26.440000534057617,21.190000534057617,12.079999923706055,5.769999980926514,6.050000190734863,4.699999809265137,13.59000015258789,64.9800033569336,9.99230670928955,8.681818008422852,31.200000762939453,21.75,41.227272033691406,13.640000343322754,31.770000457763672,59.59000015258789,4.730000019073486,104.69999694824219
2022-01-24,83.87000274658203,19.649999618530273,5.801665782928467,7.670000076293945,8.729999542236328,30.770000457763672,26.4761905670166,25.8799991607666,21.09000015258789,11.979999542236328,5.920000076293945,6.130000114440918,4.619999885559082,13.1899995803833,64.5,9.86153793334961,8.63636302947998,31.350000381469727,21.299999237060547,41.009090423583984,13.0600004196167,31.950000762939453,58.220001220703125,4.670000076293945,104.08000183105469
2022-01-25,84.05999755859375,20.399999618530273,6.00666618347168,7.989999771118164,8.869999885559082,32.13999938964844,26.08571434020996,27.010000228881836,22.1200008392334,12.539999961853027,6.050000190734863,6.349999904632568,4.599999904632568,13.300000190734863,64.94999694824219,9.976922988891602,8.854544639587402,32.15999984741211,21.579999923706055,41.900001525878906,13.319999694824219,32.9900016784668,56.709999084472656,4.630000114440918,106.33000183105469
2022-01-26,84.30000305175781,20.579999923706055,5.931665897369385,7.849999904632568,9.0600004196167,31.68000030517578,26.552379608154297,27.75,21.889999389648438,12.90999984741211,6.230000019073486,6.170000076293945,4.599999904632568,13.680000305175781,64.1500015258789,9.923075675964355,8.945453643798828,31.850000381469727,21.399999618530273,41.918182373046875,13.779999732971191,33.869998931884766,55.63999938964844,4.650000095367432,107.38999938964844
2022-01-27,84.48999786376953,20.299999237060547,5.998332977294922,7.949999809265137,9.029999732971191,31.8700008392334,26.628570556640625,27.93000030517578,22.200000762939453,13.380000114440918,6.400000095367432,6.289999961853027,4.510000228881836,13.850000381469727,64.4000015258789,10.076923370361328,9.06363582611084,32.290000915527344,21.65999984741211,41.400001525878906,14.460000038146973,33.880001068115234,58.4900016784668,4.739999771118164,108.19999694824219
2022-01-28,83.66000366210938,20.06999969482422,6.320000171661377,7.980000019073486,9.329999923706055,32.20000076293945,26.733333587646484,28.149999618530273,22.139999389648438,13.489999771118164,6.309999942779541,6.260000228881836,4.489999771118164,13.970000267028809,65.0,10.023076057434082,9.154544830322266,32.4900016784668,21.729999542236328,41.6363639831543,14.739999771118164,32.540000915527344,59.29999923706055,4.760000228881836,107.58000183105469
